,id,name,year,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
3041,6519574,中原女警,2011,"['剧情', '犯罪']",146,10,2,4.6,142,169,9,142,384,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3042,6519575,杨善洲,2011,"['剧情', '传记']",3325,10,2,7.7,23,6984,23,23,19511,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3043,6519577,守望天山,2011,['剧情'],161,10,2,6.2,113,8222,13,113,9058,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3044,6519582,北川重生,2011,['剧情'],190,10,2,6.2,21831,38295,238,21831,65668,238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3045,6519585,飞天,2011,['剧情'],5777,10,2,3.5,35,7554,13,38,18721,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3046,6523584,囧蛋奇兵,2012,"['儿童', '喜剧', '奇幻']",417,10,2,2.6,5,3070,0,5,4228,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3047,6527269,危险关系,2012,"['剧情', '爱情']",83964,10,2,5.9,1507,23317,68,1507,47738,108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3048,6527278,爱不羁,2010,['剧情'],74,10,2,5.8,26,10103,26,26,13443,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3049,6531251,车在囧途,2012,"['喜剧', '爱情']",18065,10,2,3.9,1,3861,1,2,9499,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3050,6536267,惊魂游戏,2011,"['悬疑', '惊悚']",1587,10,2,3.8,26,5283,26,26,9921,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
