,id,name,year,url,image,datePublished,genre,language,duration,description,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect
1698,26836696,夫妇何求,2016,/subject/26836696/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2367607462.jpg,,"['剧情', '犯罪', '悬疑', '同性', '黑色电影']", 汉语普通话,PT0H25M,几个星期前，心理医生李通的妻子方平自杀身亡。一日下午，表面佯装走出妻子自杀阴影的李通照例接待了他的病人宋先生，出乎意料的是，宋先生这一次带着妻子林夏天一同参加了心理咨询。这一场看似正常的心理咨询却暗流...,113,10,2,7.1,12,2640,12,12,7410,12
1699,26836837,宇宙有爱浪漫同游,2018,/subject/26836837/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2512322548.jpg,2018-03-02,"['喜剧', '爱情', '科幻']", 汉语普通话,PT1H32M,来自几个不同地方的男女之间的爱情、友情故事，他们每个人都在寻找爱人的勇气，都在治愈着对方，最终也都把握住了属于自己的幸福.,873,10,2,3.8,1425,6317,1425,1425,14994,1425
1700,26838466,老九门番外之二月花开,2016,/subject/26838466/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2387558712.jpg,2016-10-20,"['悬疑', '奇幻']", 汉语普通话,PT1H33M,由爱奇艺、上海视骊与南派泛娱联合出品的《老九门》番外之二月红已于近日在北京怀柔开机，原著作者南派三叔出席了开机仪式，并正式宣布张艺兴将在番外篇中继续饰演二月红一角。据透露，该片是南派三叔为二月红量身打...,7930,10,2,4.9,26,23758,1514,26,24521,1739
1701,26838501,丧尸屠城2,2016,/subject/26838501/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2368920194.webp,2016-07-21,"['科幻', '悬疑', '惊悚', '恐怖']", 汉语普通话,PT1H12M,导演戴金垸继《丧尸屠城》仅仅一年后又再度携手《丧尸屠城2》归来，电影由戴金垸与唐彬彬共同编剧，五百和陈娇娇担任总制片人、王文姐担任制片、贲放担任监制。此次的全新作品不仅将国内稀缺的末日灾难题材电影以全...,246,10,2,4.8,7,114,7,7,114,7
1702,26839582,新大头儿子和小头爸爸2一日成才,2016,/subject/26839582/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2402888221.jpg,2016-08-19,"['喜剧', '动画', '家庭']", 汉语普通话,PT1H25M,大头儿子（刘纯燕 配音）尽管聪明懂事，却到底只是个孩子，无法克制内心里爱玩的冲动，耽误了学业，将这一切看在眼里的围裙妈妈（鞠萍 配音）十分焦急，不知该如何是好。某日，小头爸爸（董浩 配音）在偶然之中遇...,3330,10,2,4.8,5,959,133,9,1895,137
1703,26840300,食人岛,2016,/subject/26840300/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2390679413.jpg,2016-12-02,"['奇幻', '恐怖']", 汉语普通话,PT1H34M,某日，中国东海最深处显现出了一个与世隔绝的美丽小岛。渐渐地开始有好奇者登岛，凯迪的好姐妹也在半个月前随着“驴友”决定探险。一周之前，一个看似寻常却又诡异的微信邀请将凯迪、青云、Rocky、米娅、波仔聚...,1042,10,2,2.3,31,13584,0,31,15447,0
1704,26840665,吉祥宝宝之我是食神,2016,/subject/26840665/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372313621.jpg,2016-08-19,['动画'], 汉语普通话,PT1H30M,吉祥宝宝（叶方 配音）从小时候起就立志成为一名厨师，长大之后，他只身一人背井离乡，来到了“香满堂”厨师学校学习厨艺，这里是他实现梦想的地方，然而，当他真正站在灶台之前时，才发现，现实和想象的差距是如此...,150,10,2,2.6,0,5,0,0,7,0
1705,26841073,丢羊,2016,/subject/26841073/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2555587923.jpg,2016-09-09,['剧情'], 汉语普通话,PT1H28M,影片《丢羊》故事发生在西北的普通山村，村民们不富裕却很知足，过着路不拾遗、夜不闭户的日子，羊倌张永宏一夜之间丢失4只本准备卖掉的羯羊，诙谐的故事由此开始……,1399,10,2,7.1,8,385,12,12,605,16
1707,26841305,那年八岁,2017,/subject/26841305/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505024115.jpg,2017-11-13,"['剧情', '儿童']", 汉语普通话,PT1H27M,小小八岁那年，被爸爸卖给了算命先生吴先生当领路的，在饥荒的年代，素不相识的一老一小，从陌生和抗拒，到最后的不是亲情胜似亲情， 感人至深的故事。,4592,10,2,7.3,426,1449,47,426,1507,47
1708,26841337,斗战胜佛,2017,/subject/26841337/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447092032.webp,2017-03-15,"['喜剧', '奇幻']", 汉语普通话,PT1H18M,"孙小凡（陈浩民 饰）是一位名不见经传的小小漫画家，自幼生长在孤儿院的他和名为铁兰儿的女孩是青梅竹马的好友。近日里，孙小凡和铁兰儿忽然都遭到了不明人物的袭击，这让向来小心谨慎的两人感到百思不得其解。
原...",1946,10,2,2.4,15,1296,7,15,2244,11
